component,factor,descriptor,salience,weighting
Engaged Learning,Civic Learning,Course and community activities are facilitated to support civic learning,0.8,0.95
Engaged Learning,Civic Learning,Civic learning expectations and outcomes are included in the course syllabus,0.6,0.9
Engaged Learning,Civic Learning,"There is an alignment across the syllabus, the activities, and the assessments to ensure civic learning is assessed throughout the course",0.4,0.84
Engaged Learning,Civic Learning,Opportunities are offered for meaning-making and making connections between civic learning and academic work in the course,0.2,0.78
Engaged Learning,Integration,The Community is included in the decision making around the inclusion of engaged learning in the broader research project,1,1
Engaged Learning,Integration,Students’ engagement activities with the Community support research and intervention activities by building capacities and capabilities and/or generating useful understandings and/or practices,0.75,0.95
Engaged Learning,Integration,Course artifacts and outputs support research and intervention activities by building capacities and capabilities and/or generating useful understandings and/or practices,0.5,0.9
Engaged Learning,Integration,"Relationships and dynamics between the Instructor, the Community, and the Students are similar to the relationships and dynamics of the broader research project",0.25,0.84
Engaged Learning,Learning Goals,Critical reflection activities are used to deepen collaborative relationships with the Community,1,1
Engaged Learning,Learning Goals,Critical reflection activities are offered that help students make connections across course content and beyond,0.8,0.95
Engaged Learning,Learning Goals,There are ongoing critical reflection activities with scaffolding that allow deepened reflections on engaged experiences,0.6,0.9
Engaged Learning,Learning Goals,Expectations for critical reflection are built into the course requirements and are stated in the syllabus,0.4,0.84
Engaged Learning,Learning Goals,Critical reflection activities are used to enhance course content,0.2,0.78
Engaged Learning,Reciprocity,"There is ongoing collaboration between the Community, the Instructor, and Students in all phases of the project or engaged experience",1,1
Engaged Learning,Reciprocity,Students are aware of their accountability to contributing to the benefit of the Community,0.8,0.95
Engaged Learning,Reciprocity,"Activities are co-constructed by the Instructor, Community, and Students that benefit the Community and enrich Student learning",0.6,0.9
Engaged Learning,Reciprocity,Expectations around Community benefit and Student learning are included in the course syllabus,0.4,0.84
Engaged Learning,Reciprocity,The Instructor facilitates an activity or activities that benefit the Community and enrich Student learning,0.2,0.78
Outcomes,Capacities and Capabilities Strengthened,Participant and/or Community well-being,1,1
Outcomes,Capacities and Capabilities Strengthened,Participant and/or Community agency,0.8,0.95
Outcomes,Capacities and Capabilities Strengthened,Mutual trust and respect between the Community and the Research Team and/or the Research Institution,0.6,0.9
Outcomes,Capacities and Capabilities Strengthened,The fabric and cohesion of the Community,0.4,0.84
Outcomes,Capacities and Capabilities Strengthened,The distribution of opportunity and/or attainment,0.2,0.78
Outcomes,Goals Met,"Mostly for the Community, some for the Research Team",1,1
Outcomes,Goals Met,Entirely for the Community,0.8,0.95
Outcomes,Goals Met,Equally for the Research Team and the Community,0.6,0.9
Outcomes,Goals Met,"Mostly for the Research Team, some for the Community",0.4,0.84
Outcomes,Goals Met,Entirely for the Research Team,0.2,0.78
Outcomes,Outputs Delivered,Community-Based Outputs that Reach Broader Community Members and Institutions,1,1
Outcomes,Outputs Delivered,Community-Based Outputs that Benefit Direct Community Partners,0.8,0.95
Outcomes,Outputs Delivered,Academic and/or Community-Based Outputs in a Range of Venues,0.6,0.9
Outcomes,Outputs Delivered,Academic Outputs that Advance the Field,0.4,0.84
Outcomes,Outputs Delivered,Academic Outputs that Benefit the Research Team,0.2,0.78
Outcomes,Sustainability,Concrete strategies for further engagement,1,1
Outcomes,Sustainability,Available resources,0.8,0.95
Outcomes,Sustainability,Trust and respect in partnership,0.6,0.9
Outcomes,Sustainability,Ongoing shared vision and common goals,0.4,0.84
Outcomes,Sustainability,Infrastructures for further engagement,0.2,0.78
