component	factor	descriptor	salience	weighting
| 	 | 	 | Students’ engagement activities with the Community support research and intervention activities by building capacities and capabilities and/or generating useful understandings and/or practices	 | 0.75	 | 0.95 |
| 	 | 	 | Course artifacts and outputs support research and intervention activities by building capacities and capabilities and/or generating useful understandings and/or practices	 | 0.5	 | 0.9 |
| 	 | 	 | Relationships and dynamics between the Instructor, the Community, and the Students are similar to the relationships and dynamics of the broader research project	 | 0.25	 | 0.84 |
| 	 | Learning Goals	 | Critical reflection activities are used to deepen collaborative relationships with the Community	 | 1	 | 1 |
| 	 | 	 | Critical reflection activities are offered that help students make connections across course content and beyond	 | 0.8	 | 0.95 |
| 	 | 	 | There are ongoing critical reflection activities with scaffolding that allow deepened reflections on engaged experiences	 | 0.6	 | 0.9 |
| 	 | 	 | Expectations for critical reflection are built into the course requirements and are stated in the syllabus	 | 0.4	 | 0.84 |
| 	 | 	 | Critical reflection activities are used to enhance course content	 | 0.2	 | 0.78 |
| 	 | Reciprocity	 | There is ongoing collaboration between the Community, the Instructor, and Students in all phases of the project or engaged experience	 | 1	 | 1 |
| 	 | 	 | Students are aware of their accountability to contributing to the benefit of the Community	 | 0.8	 | 0.95 |
| 	 | 	 | Activities are co-constructed by the Instructor, Community, and Students that benefit the Community and enrich Student learning	 | 0.6	 | 0.9 |
| 	 | 	 | Expectations around Community benefit and Student learning are included in the course syllabus	 | 0.4	 | 0.84 |
| 	 | 	 | The Instructor facilitates an activity or activities that benefit the Community and enrich Student learning	 | 0.2	 | 0.78 |
| Outcomes	 | Capacities and Capabilities Strengthened	 | Participant and/or Community well-being	 | 1	 | 1 |
| 	 | 	 | Participant and/or Community agency	 | 0.8	 | 0.95 |
| 	 | 	 | Mutual trust and respect between the Community and the Research Team and/or the Research Institution	 | 0.6	 | 0.9 |
| 	 | 	 | The fabric and cohesion of the Community	 | 0.4	 | 0.84 |
| 	 | 	 | The distribution of opportunity and/or attainment	 | 0.2	 | 0.78 |
| 	 | Goals Met	 | Mostly for the Community, some for the Research Team	 | 1	 | 1 |
| 	 | 	 | Entirely for the Community	 | 0.8	 | 0.95 |
| 	 | 	 | Equally for the Research Team and the Community	 | 0.6	 | 0.9 |
| 	 | 	 | Mostly for the Research Team, some for the Community	 | 0.4	 | 0.84 |
| 	 | 	 | Entirely for the Research Team	 | 0.2	 | 0.78 |
| 	 | Outputs Delivered	 | Community-Based Outputs that Reach Broader Community Members and Institutions	 | 1	 | 1 |
| 	 | 	 | Community-Based Outputs that Benefit Direct Community Partners	 | 0.8	 | 0.95 |
| 	 | 	 | Academic and/or Community-Based Outputs in a Range of Venues	 | 0.6	 | 0.9 |
| 	 | 	 | Academic Outputs that Advance the Field	 | 0.4	 | 0.84 |
| 	 | 	 | Academic Outputs that Benefit the Research Team	 | 0.2	 | 0.78 |
| 	 | Sustainability	 | Concrete strategies for further engagement	 | 1	 | 1 |
| 	 | 	 | Available resources	 | 0.8	 | 0.95 |
| 	 | 	 | Trust and respect in partnership	 | 0.6	 | 0.9 |
| 	 | 	 | Ongoing shared vision and common goals	 | 0.4	 | 0.84 |
| 	 | 	 | Infrastructures for further engagement	 | 0.2	 | 0.78 |
